"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2001","Albania","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","6 427",""
"2002","European Union - 27 countries (from 2020)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","4 289 659","e"
"2002","European Union - 27 countries (from 2020)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","2 156 016","e"
"2002","European Union - 27 countries (from 2020)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","2 133 643","e"
"2002","European Union - 28 countries (2013-2020)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","4 897 704","e"
"2002","European Union - 28 countries (2013-2020)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","2 445 097","e"
"2002","European Union - 28 countries (2013-2020)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","2 452 607","e"
"2002","Belgium","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98",":",""
"2002","Belgium","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98",":",""
"2002","Belgium","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98",":",""
"2002","Bulgaria","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","112 617",""
"2002","Bulgaria","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","59 942",""
"2002","Bulgaria","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","52 675",""
"2002","Czechia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","108 243",""
"2002","Czechia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","54 377",""
"2002","Czechia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","53 866",""
"2002","Denmark","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","58 397",""
"2002","Denmark","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","28 140",""
"2002","Denmark","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","30 257",""
"2002","Germany (until 1990 former territory of the FRG)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","841 686",""
"2002","Germany (until 1990 former territory of the FRG)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","389 116",""
"2002","Germany (until 1990 former territory of the FRG)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","452 570",""
"2002","Estonia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","18 355",""
"2002","Estonia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","9 369",""
"2002","Estonia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","8 986",""
